43,-12516,-12212,-2268,-3281,1289,-727,1439947769.6112959
44,-10436,-11992,-1452,-2955,-2068,-49,1439947769.7461569
45,-9856,-11888,-3472,-2973,1504,-1359,1439947769.8812611
0,-5840,19876,5360,4400,-2541,21732,1439947801.117696
1,-7804,15940,4200,805,-731,12204,1439947801.2014771
2,-5188,14348,4720,713,1247,7677,1439947801.3364291
3,-5468,15168,3204,-60,-3989,-2507,1439947801.4714179
4,-6336,14564,2380,-3256,-290,-16360,1439947801.6064401
5,-12740,15352,3476,-3580,4071,-24009,1439947801.7413239
6,-8128,11148,4608,-1987,3053,-8295,1439947801.87639
7,-13652,9452,2876,3884,-4158,-454,1439947802.011081
8,-11408,10680,4556,-559,-6479,3689,1439947802.1464579
9,-12836,8836,5488,-4590,2219,-2196,1439947802.2815621
10,-12472,8348,4248,-2485,2410,-2293,1439947802.4164591
11,-13312,6844,5656,254,5570,761,1439947802.5513439
12,-14424,5564,3248,-72,4243,-1528,1439947802.6862929
13,-9672,5960,5488,-458,4205,-8483,1439947802.821445
