27,10128,11624,5344,-1280,-6497,-18208,1439902653.401583
28,3788,17640,4772,3789,-457,-19640,1439902653.5368171
29,4056,15416,4228,-1638,-20413,-7850,1439902653.6718071
30,2260,14464,4284,-961,-22587,-627,1439902653.8066511
31,2844,15248,5128,183,-17988,303,1439902653.941592
32,2596,18224,6008,-1689,-13864,1090,1439902654.0766649
33,5932,16144,3948,-5139,-12097,1041,1439902654.211555
34,8296,14024,4048,-7876,-13153,-2573,1439902654.3467071
35,10040,14472,5632,-9906,-16944,8900,1439902654.4817531
36,6976,10308,3584,-7121,-11091,5908,1439902654.6166041
37,6380,18792,-248,-3896,-4109,-15199,1439902654.751755
38,5204,14228,6024,-1603,-8856,-18105,1439902654.8867209
39,5924,15988,4708,-8543,-23553,-17254,1439902655.0216391
40,10000,12648,3940,-511,-8635,-3233,1439902655.156656
41,10344,21844,7972,6103,7446,4654,1439902655.2916541
42,6936,15980,6428,3536,6067,9628,1439902655.4266119
43,6056,20332,5792,979,16128,17901,1439902655.5617139
44,4852,13604,1332,-3624,-4636,11783,1439902655.6967859
0,4768,17616,988,-1224,-1434,-3013,1439902685.5214701
1,5540,13348,992,2733,-3874,2148,1439902685.6008539
2,2948,15032,1380,3246,-3006,-1042,1439902685.735831
3,6672,13764,480,4535,-1438,1213,1439902685.8709221
4,8240,13964,-1332,2433,3179,-960,1439902686.0058529
5,5356,12060,3252,2958,12536,-2147,1439902686.140867
6,4796,19544,992,-2966,17576,-2452,1439902686.2759621
7,-9436,30664,8012,-2888,-9213,-5815,1439902686.41098
8,4000,26428,4928,3098,16002,-1220,1439902686.5459089
9,2864,22460,4724,-495,-2865,13335,1439902686.6810811
10,6088,14140,1784,-3127,96,8058,1439902686.8160999
11,7440,11248,2552,107,4983,4894,1439902686.951081
12,8808,8660,1732,-5796,5209,1453,1439902687.086031
13,12280,10800,4960,-6929,7290,2578,1439902687.220876
14,11488,6280,6936,-5281,395,4190,1439902687.355902
15,9508,5184,6164,1021,5684,11140,1439902687.4910431
16,9672,5228,9928,3157,5616,11486,1439902687.6261361
17,11592,3272,9788,4521,5085,8018,1439902687.7610869
18,8544,1584,10788,8222,9397,5170,1439902687.8959579
19,5160,7504,9836,10077,9704,-4454,1439902688.031158
20,2920,13588,8848,7421,62,-8637,1439902688.1659729
21,8776,11412,13720,2407,-7138,-6050,1439902688.3008871
